team_id,team_name,team_key,fifa_code,group_letter,is_placeholder,players_found,squad_top11,squad_top26,attack_strength,midfield_strength,defense_strength,gk_strength,avg_age_top26,market_value_top26,tm_players_found,tm_market_value_top25,tm_caps_top25,tm_recent_injury_days_top25,tm_injury_value_risk_top25
1,Mexico,Mexico,MEX,A,False,44,78.18181818181819,75.61538461538461,78.0,77.875,74.375,68.28571428571429,26.153846153846153,120900000.0,2208,237000000.0,857.0,1115.0,95708333.33333334
2,South Africa,South Africa,RSA,A,False,16,68.18181818181819,65.25,64.71428571428571,68.25,67.16666666666667,68.18181818181819,23.6875,24145000.0,112,28050000.0,255.0,514.0,6458333.333333333
3,Korea Republic,Korea Republic,KOR,A,False,411,77.0,73.8076923076923,75.5,76.75,72.125,70.875,27.807692307692307,179200000.0,702,155300000.0,911.0,1273.0,70848333.33333333
4,Czechia,Czechia,CZE,A,False,93,77.54545454545455,75.6923076923077,76.25,77.125,74.75,73.875,26.846153846153847,243900000.0,819,190000000.0,1037.0,857.0,48158333.333333336
5,Canada,Canada,CAN,B,False,84,77.0909090909091,72.96153846153847,73.875,75.0,75.75,67.875,27.423076923076923,197025000.0,410,298600000.0,841.0,1036.0,85366666.66666667
6,Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,B,False,64,76.36363636363636,73.0,75.0,74.0,72.25,64.5,28.384615384615383,115455000.0,481,166600000.0,827.0,1143.0,58722499.99999999
7,Qatar,Qatar,QAT,B,False,30,72.54545454545455,68.61538461538461,69.625,73.0,68.375,65.25,29.03846153846154,0.0,246,20825000.0,778.0,556.0,2201250.0
8,Switzerland,Switzerland,SUI,B,False,243,81.45454545454545,78.15384615384616,76.125,79.25,77.0,78.125,28.576923076923077,361200000.0,1660,378000000.0,1009.0,1654.0,167683333.3333333
9,Brazil,Brazil,BRA,C,False,709,86.36363636363636,83.6923076923077,84.0,84.875,83.875,81.625,26.96153846153846,1242000000.0,6615,1347000000.0,498.0,1567.0,445125000.0
10,Morocco,Morocco,MAR,C,False,142,81.0,78.42307692307692,79.25,80.375,79.375,71.4,26.884615384615383,475300000.0,985,540500000.0,752.0,1366.0,131437499.99999999
11,Haiti,Haiti,HAI,C,False,14,69.27272727272727,66.57142857142857,68.0,68.625,65.0,69.0,27.285714285714285,19435000.0,104,71575000.0,489.0,283.0,10123333.333333332
12,Scotland,Scotland,SCO,C,False,265,78.63636363636364,75.5,74.0,79.875,76.25,67.0,27.96153846153846,244800000.0,1215,431500000.0,871.0,1631.0,112100000.0
13,USA,USA,USA,D,False,420,79.54545454545455,76.8076923076923,77.5,80.25,77.125,71.125,25.46153846153846,379400000.0,2724,483000000.0,1132.0,1673.0,219450000.0
14,Paraguay,Paraguay,PAR,D,False,161,75.63636363636364,73.8076923076923,74.5,75.0,73.875,67.375,29.307692307692307,116199999.0,194,173500000.0,433.0,901.0,44545833.333333336
15,Australia,Australia,AUS,D,False,308,72.72727272727273,70.96153846153847,70.75,71.875,70.75,68.0,28.384615384615383,56725000.0,657,72900000.0,678.0,1745.0,30408333.333333336
16,Türkiye,Türkiye,TUR,D,False,269,80.27272727272727,78.03846153846153,78.75,80.875,77.125,75.625,27.0,452600000.0,3933,409500000.0,970.0,1509.0,137791666.66666666
17,Germany,Germany,GER,E,False,1163,85.72727272727273,83.57692307692308,83.375,84.875,84.375,81.5,28.923076923076923,1077700000.0,4831,1090000000.0,1217.0,1666.0,605791666.6666667
18,Curaçao,Curaçao,CUR,E,False,15,66.63636363636364,64.53333333333333,63.4,67.875,65.57142857142857,60.0,23.066666666666666,19975000.0,104,189300000.0,634.0,667.0,58747916.666666664
19,Côte d'Ivoire,Côte d'Ivoire,CIV,E,False,144,79.27272727272727,77.11538461538461,77.75,78.25,78.875,73.0,26.192307692307693,389800000.0,817,813000000.0,807.0,1351.0,330050000.0
20,Ecuador,Ecuador,ECU,E,False,124,77.18181818181819,73.57692307692308,71.875,76.625,76.5,67.25,27.96153846153846,305525000.0,148,340900000.0,618.0,1316.0,35796666.666666664
21,Netherlands,Netherlands,NED,F,False,466,84.72727272727273,82.1923076923077,81.125,84.5,83.75,76.75,27.23076923076923,895900000.0,2712,1041000000.0,953.0,1211.0,349008333.3333334
22,Japan,Japan,JPN,F,False,103,79.27272727272727,76.73076923076923,78.0,80.0,76.0,67.75,27.192307692307693,325000000.0,1233,356500000.0,1022.0,1376.0,83579166.66666667
23,Sweden,Sweden,SWE,F,False,406,80.27272727272727,77.15384615384616,79.875,78.5,75.875,71.5,26.115384615384617,508200000.0,1391,584500000.0,787.0,1039.0,182695833.3333333
24,Tunisia,Tunisia,TUN,F,False,31,72.9090909090909,68.96153846153847,69.875,73.75,69.375,72.9090909090909,25.73076923076923,76300000.0,219,103700000.0,596.0,897.0,28491666.666666664
25,Belgium,Belgium,BEL,G,False,311,83.72727272727273,80.6923076923077,81.75,82.5,77.625,79.5,26.76923076923077,707500000.0,2508,685000000.0,995.0,1249.0,232283333.3333333
26,Egypt,Egypt,EGY,G,False,10,70.6,70.6,74.6,75.66666666666667,70.25,70.6,27.2,147570000.0,100,160800000.0,1013.0,919.0,14255833.333333332
27,IR Iran,IR Iran,IRN,G,False,6,71.0,71.0,74.33333333333333,70.66666666666667,68.0,68.0,29.5,22225000.0,79,36200000.0,905.0,1039.0,14924166.666666666
28,New Zealand,New Zealand,NZL,G,False,55,71.0909090909091,67.34615384615384,68.625,69.5,68.375,61.375,26.76923076923077,57100000.0,113,44850000.0,694.0,1281.0,6740833.333333334
29,Spain,Spain,ESP,H,False,1036,86.45454545454545,84.73076923076923,84.75,86.625,84.0,82.75,27.5,1391500000.0,7062,1910000000.0,927.0,1149.0,650249999.9999999
30,Cabo Verde,Cape Verde Islands,CPV,H,False,29,71.72727272727273,67.92307692307692,69.875,70.0,68.875,74.0,27.307692307692307,58500000.0,243,136400000.0,675.0,1301.0,64733333.33333333
31,Saudi Arabia,Saudi Arabia,KSA,H,False,353,73.36363636363636,70.92307692307692,71.375,73.875,71.375,63.5,28.46153846153846,80675000.0,12,8200000.0,61.0,80.0,1229583.3333333333
32,Uruguay,Uruguay,URU,H,False,248,81.18181818181819,78.46153846153847,77.25,80.875,80.125,73.25,29.76923076923077,459000000.0,418,511000000.0,1082.0,1290.0,182529166.66666666
33,France,France,FRA,I,False,913,86.72727272727273,84.84615384615384,86.375,86.75,85.0,79.25,26.692307692307693,1554000000.0,8970,1605000000.0,1044.0,1187.0,531208333.3333334
34,Senegal,Senegal,SEN,I,False,142,79.72727272727273,77.03846153846153,78.25,79.25,76.0,71.5,27.0,325600000.0,919,516000000.0,682.0,1189.0,225258333.33333334
35,Iraq,Iraq,IRQ,I,False,14,66.63636363636364,65.42857142857143,64.71428571428571,67.125,68.0,66.63636363636364,23.571428571428573,19575000.0,64,28875000.0,382.0,627.0,12992500.0
36,Norway,Norway,NOR,I,False,424,80.18181818181819,76.8076923076923,78.75,79.75,76.375,69.875,27.5,489800000.0,711,589000000.0,1040.0,996.0,211358333.3333333
37,Argentina,Argentina,ARG,J,False,1061,85.0,82.23076923076923,83.875,84.375,80.125,79.875,28.53846153846154,916500000.0,3144,996000000.0,715.0,1161.0,316350000.0
38,Algeria,Algeria,ALG,J,False,60,79.0,76.15384615384616,77.75,79.75,73.625,79.0,27.384615384615383,289500000.0,754,361500000.0,808.0,949.0,104583333.33333334
39,Austria,Austria,AUT,J,False,277,79.0909090909091,76.84615384615384,75.125,79.375,78.875,71.5,28.0,297100000.0,908,271500000.0,1100.0,991.0,86625000.00000001
40,Jordan,Jordan,JOR,J,False,3,70.33333333333333,70.33333333333333,68.0,75.0,75.0,70.33333333333333,25.333333333333332,10975000.0,18,7525000.0,328.0,69.0,2523750.0
41,Portugal,Portugal,POR,K,False,349,85.27272727272727,82.76923076923077,81.375,85.375,82.125,76.625,27.5,1054500000.0,3320,1096000000.0,1408.0,953.0,288833333.3333333
42,Congo DR,Congo DR,COD,K,False,47,76.36363636363636,72.96153846153847,75.0,74.25,73.75,67.0,26.923076923076923,154199999.0,727,615000000.0,807.0,1444.0,242908333.33333334
43,Uzbekistan,Uzbekistan,UZB,K,False,5,69.4,69.4,68.5,67.33333333333333,72.5,69.4,23.6,30499999.0,22,46725000.0,780.0,263.0,2372500.0
44,Colombia,Colombia,COL,K,False,212,79.72727272727273,77.61538461538461,79.25,79.25,77.875,71.625,29.923076923076923,339425000.0,494,402000000.0,612.0,1268.0,75141666.66666666
45,England,England,ENG,L,False,1495,86.0909090909091,83.61538461538461,85.25,86.25,82.125,78.25,26.615384615384617,1345500000.0,6552,1885000000.0,1183.0,1469.0,882000000.0
46,Croatia,Croatia,CRO,L,False,166,81.18181818181819,78.38461538461539,77.875,81.5,76.625,74.25,28.346153846153847,390200000.0,1276,409500000.0,976.0,1124.0,157487500.0
47,Ghana,Ghana,GHA,L,False,138,78.0909090909091,75.1923076923077,77.0,78.875,76.5,66.33333333333333,26.73076923076923,229000000.0,789,585000000.0,839.0,1981.0,245233333.3333333
48,Panama,Panama,PAN,L,False,15,68.9090909090909,66.46666666666667,64.0,66.625,64.71428571428571,71.0,26.333333333333332,21300000.0,47,35000000.0,668.0,862.0,7590208.333333334
